USDZAR,GBPZAR,EURZAR,GBPCNY,EURUSD,GBPUSD,NVDA.Close,AAPL.Close,AMZN.Close,DJT.Close,PDCO.Close,MLGO.Close
16522007.0,-5766.147,915.12396,4942530.0,54694664.0,78885420.0,-3906.721,69630520.0,-30647604.0,11367303.0,71901440.0,-3202.4417
7280593.0,-20316246.0,-157.8773,16066497.0,10601419.0,4547469.5,-1787.3838,18144660.0,-7426759.5,9337637.0,13836049.0,-677.9112
51521.0,-7.80418,14074.022,-38465.887,100849.29,116469.836,-834.2542,24341.334,-12345.995,39161.54,57528.875,-1.4377995
106307290.0,-129890050.0,1824.2275,-100793130.0,107955670.0,59364430.0,-226619650.0,183912850.0,-97318220.0,-86299620.0,207222850.0,-16739.352
2935668.0,-101194550.0,1566.8881,-3148913.8,34508828.0,40598396.0,-33397104.0,69675940.0,-54781490.0,-30514502.0,56942972.0,-5877.012
90908.82,-244091.19,-2.0271847,-126113.125,329646.44,140562.38,-739472.4,383503.66,-83130.68,7265.9043,293331.25,-41.28195
41353.14,-513101.03,5.243674,129446.57,13294.898,343205.72,-16.247412,201484.78,-77560.74,177951.42,222372.7,-0.7049643
3039859.8,-91.24765,47.03037,921190.6,2754787.2,234667.02,4126152.0,-1169640.6,-1272964.9,-727909.9,796634.94,-111.46597
1016794.7,-114.28165,10.704107,-27.021404,1140770.9,381846.2,-756430.56,533954.6,-1144664.9,-1778154.9,1779694.4,-141.99101
3616659.5,-1500.2119,739.6463,10810287.0,5057582.0,35512444.0,315.06876,-5656002.5,-10638826.0,3855263.8,7391567.0,583.76056
21633770.0,-3456.469,727.5693,57.84415,33802704.0,45163516.0,-32627576.0,22196098.0,-2845822.5,16670926.0,33551900.0,-949.661
320686.94,-26.402267,8.959356,-15.897945,352087.0,395194.78,-257435.67,340543.84,-136042.98,-228215.17,449085.4,-42.656384
14916321.0,-1228.7325,44.65367,-152626.7,8637669.0,9455449.0,6382387.5,20589052.0,-18106120.0,-16868724.0,20439494.0,-2032.4558
24227.629,-0.83038354,2488.2258,-3028.2668,12421.176,13725.096,13834.931,-8884.891,-2604.7947,5685.018,12635.279,-0.2999728
89461176.0,-68483600.0,1286.1808,-2856.9304,49500372.0,1611164.0,-190396540.0,77956904.0,2568215.5,8734319.0,130967640.0,-5533.5156
2135133.0,-1828422.1,119758.3,1333852.2,1891921.9,1776068.9,-257436.69,-853339.2,777446.6,1172475.6,1650227.5,12.833631
2636767.2,-8747257.0,183.98419,1764085.2,1043063.94,8295891.0,-1481215.0,-1401149.0,-3072575.8,741847.25,1964207.0,154.9393
15862.223,-0.89975977,3088.3296,-10206.109,13343.283,16005.858,3880.112,-6418.985,6282.88,3816.5918,13307.597,-0.3205669
6261356.5,-11472064.0,237.65178,6069794.5,1432661.2,7996579.0,-249.07019,-1624208.1,-4921198.5,1996934.0,4280871.0,130.32727
12768546.0,392033.38,-117.04936,3176916.0,14331974.0,-4335028.0,522599.84,3058665.5,-5659974.0,-4081723.8,7756151.5,-427.54794
22577848.0,-2484.74,687317.56,-1135.6447,36299596.0,41448560.0,24142322.0,-44575828.0,35627028.0,-2226189.2,34718084.0,17725448.0
19581472.0,-1084.6393,3146947.0,-2970999.5,10330369.0,29961994.0,4623645.0,-19254186.0,-4962263.5,9736972.0,12515765.0,20023092.0
21130602.0,-818.1307,4631282.0,6929952.0,16460376.0,3055701.8,25456862.0,-11896099.0,-4711852.0,-1891265.1,8064642.5,-872.899
3522440.2,-11194601.0,-44.57323,-1176268.0,7654999.0,-1668279.9,-1180.3142,16215474.0,-3920846.8,975792.2,13150604.0,-936.8172
158548.34,-37.974247,237269.94,-93679.59,381985.6,519220.6,422297.25,157579.84,-227033.0,-2351.1675,175481.06,-22.184656
143425.1,-6719123.0,5.6805134,-2233715.5,1489235.6,-280410.44,-8252391.0,14356079.0,-13075723.0,-4014297.8,13640801.0,-1136.4182
582860.2,-20.539257,2.3456886,-133213.86,759267.56,33364.625,65924.87,30091.639,-12593.958,-66884.57,379738.22,-19.043602
12380.144,-10.837669,2.1513145,-2.058738,20560.693,194817.4,-89209.914,47159.477,17266.51,1.7835517,122590.52,-2.0632207
5624956.0,-65227530.0,994.5299,-10757022.0,18121428.0,30600296.0,-54292530.0,46634976.0,-27391978.0,-11000346.0,52674164.0,-2623.465
12846.063,-16.470762,4.391545,148432.75,117492.37,282695.47,-10.884601,32212.758,-28618.332,237570.48,71421.625,-4.8461237
7230858.5,-706.3885,201.619,4044208.8,3697667.5,7830657.5,-12618203.0,4613293.5,55431.156,7142050.0,9647747.0,-59.80107
3514409.8,-20217690.0,178.07014,-1257599.8,7972089.5,5236058.0,-12093950.0,24060130.0,-32484524.0,-23563772.0,24851074.0,-2247.0295
680970.9,-785230.06,6.7567625,-923029.3,650462.7,140840.03,-1577076.4,1721268.0,-837653.75,-792345.0,1620099.4,-175.565
355217.78,-63.41278,555250.06,-373956.38,1902939.8,648894.5,62769.348,-488528.0,575442.2,-189568.9,1197876.0,-21.756771
30768080.0,-2648.0767,14871973.0,9211198.0,13884951.0,35612188.0,74348350.0,-22226842.0,-15962657.0,2016645.0,16079649.0,-1618.0895
187521.92,-34.25779,5.8022766,-49622.754,547157.1,26245.795,-118611.25,21297.87,-285150.25,-501509.66,497445.78,-33.05472
4463868.0,-470.8418,8.761384,3536365.0,10414106.0,5574178.5,-19758094.0,4164468.8,2088594.1,350.3803,5022974.0,-545.32806
699546.0,-25.75063,-0.38310763,-19.721218,430182.38,203959.98,-455095.4,176737.17,101449.67,58513.12,621259.7,-22.74645
60282.176,-401884.22,6.94975,-214742.86,87795.77,443238.34,-273407.1,384648.66,-167874.78,-4042.7732,338657.62,-33.534733
24754276.0,-66.15938,-200.1024,4774164.0,23377790.0,-7643628.0,17076034.0,-2035699.9,-13589361.0,-9949628.0,8030848.5,-902.0225
20997226.0,-2501.8335,689.61725,14046341.0,19895860.0,36318004.0,-1649.1326,12276366.0,-4022074.5,17888432.0,28539012.0,-276.65884
-3434.1377,-7.6920805,1.8336934,-0.029083537,44286.773,127771.54,-1777.4478,32021.734,-34011.945,0.61765856,40334.984,-2.3835392
-382972.34,-142.72163,26.207518,837591.0,-119444.766,648389.25,10978.516,1363123.9,-1393839.5,142938.39,1557782.5,-58.131847
34277268.0,-714.66815,-12499475.0,-12675024.0,32133500.0,17739800.0,23287576.0,-4265.89,40152296.0,-19365896.0,26099684.0,16145655.0
795.18097,-1.119885,0.463192,-5.7726274,1175.2023,1736.2726,-367.01627,460.94,-158.92801,10.616736,1440.8956,-0.15988123
75609.695,-3.461018,21114.418,-39606.953,109566.31,37987.797,8691.635,13407.567,-18201.424,29164.285,43151.664,-1.5443949
5514767.5,-1570960.2,-61.57313,2415430.0,5637268.0,-7262162.5,-5285784.5,2732884.5,-7168338.0,-2020896.8,6413591.5,-281.04767
19572074.0,6210548.0,-419.36212,207.32399,13193211.0,-26285070.0,11081396.0,-2006.7123,24078288.0,-14867609.0,10889634.0,-934.8945
